entity,attribute,gold_value,entity_documents,cue_documents,support_documents,distortion_candidate_documents,covered,distinct_support_formulations,support_formulation_entropy_bits
Ambragum,move,Rock Tomb,695,248,97,151,1,97,6.599913
Ambralect,classification,Resin Geminon,754,207,141,66,1,141,7.139551
Ambralect,types,rock | electric,754,207,162,45,1,163,7.348728
Ambralect,ability,Reckless,754,150,142,8,1,143,7.159871
Ambralect,hp,97,754,91,25,66,1,25,4.643856
Ambralect,attack,138,754,202,90,112,1,90,6.491853
Ambralect,defense,155,754,162,81,81,1,81,6.33985
Ambralect,special attack,122,754,59,30,29,1,30,4.906891
Ambralect,special defense,98,754,52,31,21,1,31,4.954196
Ambralect,speed,98,754,140,53,87,1,53,5.72792
Ambralect,base_stat_total,708,754,140,72,68,1,72,6.169925
Ambralect,weight,205,754,160,97,63,1,97,6.599913
Ambralect,height,28,754,136,83,53,1,83,6.375039
Ambralect,move,Stealth Rock,754,311,131,180,1,131,7.033423
Amperion,classification,Amber Geminon,727,220,135,85,1,136,7.087463
Amperion,types,rock | electric,727,224,146,78,1,146,7.189825
Amperion,ability,Dry Skin,727,145,130,15,1,130,7.022368
Amperion,hp,120,727,84,27,57,1,27,4.754888
Amperion,attack,172,727,166,81,85,1,83,6.375039
Amperion,defense,172,727,148,71,77,1,71,6.149747
Amperion,special attack,162,727,74,39,35,1,39,5.285402
Amperion,special defense,141,727,66,32,34,1,32,5.0
Amperion,speed,120,727,122,56,66,1,56,5.807355
Amperion,base_stat_total,887,727,150,103,47,1,102,6.667083
Amperion,weight,269,727,166,114,52,1,114,6.83289
Amperion,height,36,727,139,98,41,1,98,6.61471
Amperion,move,Ancient Power,727,295,129,166,1,129,7.011227
Aqualim,classification,Snail Geminon,519,110,74,36,1,73,6.182426
Aqualim,types,water,519,173,165,8,1,190,7.566958
Aqualim,ability,Keen Eye,519,77,68,9,1,69,6.108524
Aqualim,hp,75,519,134,71,63,1,70,6.121578
Aqualim,attack,48,519,96,47,49,1,47,5.554589
Aqualim,defense,63,519,136,81,55,1,78,6.265776
Aqualim,special attack,39,519,63,38,25,1,38,5.247928
Aqualim,special defense,28,519,97,71,26,1,67,6.037071
Aqualim,speed,54,519,115,67,48,1,67,6.066089
Aqualim,base_stat_total,307,519,107,78,29,1,77,6.259761
Aqualim,weight,3003,519,67,46,21,1,45,5.480084
Aqualim,height,5,519,57,42,15,1,41,5.344698
Aqualim,move,Water Sport,519,173,81,92,1,81,6.33985
Argendrak,classification,Mercury Geminon,754,244,159,85,1,160,7.321928
Argendrak,types,dragon,754,214,202,12,1,213,7.73471
Argendrak,ability,Heavy Metal,754,125,112,13,1,112,6.807355
Argendrak,hp,86,754,97,43,54,1,43,5.426265
Argendrak,attack,35,754,137,66,71,1,66,6.044394
Argendrak,defense,97,754,182,125,57,1,124,6.949784
Argendrak,special attack,32,754,65,35,30,1,35,5.129283
Argendrak,special defense,58,754,49,38,11,1,37,5.195296
Argendrak,speed,87,754,127,48,79,1,49,5.61471
Argendrak,base_stat_total,395,754,109,61,48,1,61,5.930737
Argendrak,weight,145,754,209,122,87,1,122,6.930737
Argendrak,height,2,754,157,99,58,1,100,6.643856
Argendrak,move,Dynamax Cannon,754,226,85,141,1,85,6.409391
Argenshim,classification,Mercury Geminon,669,183,125,58,1,125,6.965784
Argenshim,types,dragon,669,187,177,10,1,193,7.592457
Argenshim,ability,Hydration,669,108,102,6,1,102,6.672425
Argenshim,hp,126,669,141,62,79,1,62,5.954196
Argenshim,attack,56,669,138,48,90,1,49,5.61471
Argenshim,defense,160,669,179,113,66,1,114,6.83289
Argenshim,special attack,54,669,62,31,31,1,31,4.954196
Argenshim,special defense,97,669,51,34,17,1,34,5.087463
Argenshim,speed,139,669,156,80,76,1,80,6.321928
Argenshim,base_stat_total,632,669,111,56,55,1,56,5.807355
Argenshim,weight,247,669,142,97,45,1,97,6.599913
Argenshim,height,3,669,138,89,49,1,89,6.475733
Argenshim,move,Dragon Rage,669,226,91,135,1,91,6.507795
Argentsheen,classification,Mercury Geminon,690,203,128,75,1,128,7.0
Argentsheen,types,dragon | steel,690,162,121,41,1,127,6.984375
Argentsheen,ability,Illusion,690,114,101,13,1,104,6.70044
Argentsheen,hp,175,690,239,116,123,1,115,6.84074
Argentsheen,attack,66,690,122,38,84,1,38,5.247928
Argentsheen,defense,197,690,230,158,72,1,158,7.300304
Argentsheen,special attack,64,690,58,24,34,1,24,4.584963
Argentsheen,special defense,116,690,55,34,21,1,34,5.087463
Argentsheen,speed,163,690,177,82,95,1,82,6.357552
Argentsheen,base_stat_total,781,690,140,84,56,1,86,6.426265
Argentsheen,weight,304,690,141,102,39,1,102,6.672425
Argentsheen,height,4,690,131,98,33,1,99,6.629357
Argentsheen,move,Steel Beam,690,221,82,139,1,82,6.357552
Armaladon,classification,Mantis Geminon,743,167,112,55,1,112,6.80248
Armaladon,types,fighting | bug,743,272,118,154,1,121,6.918863
Armaladon,ability,Anticipation,743,142,127,15,1,127,6.988685
Armaladon,hp,58,743,150,60,90,1,60,5.906891
Armaladon,attack,110,743,154,65,89,1,65,6.022368
Armaladon,defense,57,743,111,54,57,1,54,5.754888
Armaladon,special attack,142,743,217,122,95,1,122,6.930737
Armaladon,special defense,178,743,101,51,50,1,51,5.672425
Armaladon,speed,184,743,224,113,111,1,113,6.820179
Armaladon,base_stat_total,729,743,135,76,59,1,76,6.247928
Armaladon,weight,2707,743,100,62,38,1,62,5.954196
Armaladon,height,12,743,91,60,31,1,60,5.906891
Armaladon,move,Flying Press,743,373,125,248,1,125,6.961407
Armalume,classification,Mantis Geminon,707,151,115,36,1,115,6.84549
Armalume,types,fighting | bug,707,156,123,33,1,124,6.954196
Armalume,ability,Illuminate,707,99,93,6,1,93,6.539159
Armalume,hp,44,707,154,52,102,1,52,5.70044
Armalume,attack,79,707,109,46,63,1,46,5.523562
Armalume,defense,51,707,163,67,96,1,67,6.066089
Armalume,special attack,128,707,223,120,103,1,120,6.906891
Armalume,special defense,125,707,76,40,36,1,40,5.321928
Armalume,speed,166,707,215,106,109,1,108,6.754888
Armalume,base_stat_total,593,707,93,35,58,1,35,5.129283
Armalume,weight,2062,707,123,76,47,1,76,6.247928
Armalume,height,9,707,100,58,42,1,59,5.882643
Armalume,move,Skitter Smack,707,330,91,239,1,91,6.501823
Armant,classification,Mantis Geminon,768,186,125,61,1,128,7.0
Armant,types,fighting,768,190,177,13,1,186,7.539159
Armant,ability,Light Metal,768,105,96,9,1,96,6.584963
Armant,hp,30,768,181,75,106,1,75,6.228819
Armant,attack,53,768,115,67,48,1,67,6.066089
Armant,defense,31,768,283,86,197,1,86,6.419955
Armant,special attack,75,768,206,99,107,1,99,6.629357
Armant,special defense,85,768,89,51,38,1,50,5.63321
Armant,speed,104,768,234,118,116,1,120,6.906891
Armant,base_stat_total,378,768,117,64,53,1,63,5.96875
Armant,weight,1289,768,146,80,66,1,80,6.321928
Armant,height,6,768,107,61,46,1,61,5.930737
Armant,move,Secret Sword,768,330,113,217,1,112,6.80248
Arumaura,classification,Flower Geminon,544,193,125,68,1,126,6.97728
Arumaura,types,fairy | grass,544,155,120,35,1,122,6.930737
Arumaura,ability,Simple,544,75,64,11,1,63,5.96875
Arumaura,hp,83,544,90,34,56,1,34,5.087463
Arumaura,attack,21,544,109,64,45,1,64,6.0
Arumaura,defense,43,544,100,61,39,1,61,5.930737
Arumaura,special attack,166,544,213,149,64,1,149,7.219169
Arumaura,special defense,86,544,44,28,16,1,28,4.807355
Arumaura,speed,87,544,140,52,88,1,53,5.72792
Arumaura,base_stat_total,486,544,90,53,37,1,53,5.72792
Arumaura,weight,860,544,121,90,31,1,91,6.507795
Arumaura,height,5,544,104,64,40,1,65,6.022368
Arumaura,move,Aromatherapy,544,281,73,208,1,72,6.162427
Arumleaf,classification,Leaf Geminon,616,227,137,90,1,139,7.118941
Arumleaf,types,fairy | grass,616,270,170,100,1,172,7.426265
Arumleaf,ability,Klutz,616,97,83,14,1,81,6.326847
Arumleaf,hp,53,616,101,33,68,1,33,5.044394
Arumleaf,attack,13,616,105,68,37,1,68,6.087463
Arumleaf,defense,26,616,107,48,59,1,48,5.584963
Arumleaf,special attack,104,616,181,104,77,1,104,6.70044
Arumleaf,special defense,55,616,29,18,11,1,18,4.169925
Arumleaf,speed,58,616,109,48,61,1,48,5.584963
Arumleaf,base_stat_total,309,616,87,52,35,1,53,5.72792
Arumleaf,weight,506,616,160,97,63,1,97,6.599913
Arumleaf,height,3,616,143,83,60,1,83,6.375039
Arumleaf,move,Forests Curse,616,275,31,244,1,31,4.954196
Astralith,classification,Stone Geminon,726,260,143,117,1,143,7.159871
Astralith,types,psychic | rock,726,218,142,76,1,142,7.145885
Astralith,ability,Power Construct,726,130,114,16,1,114,6.83289
Astralith,hp,85,726,83,25,58,1,25,4.643856
Astralith,attack,107,726,162,64,98,1,64,6.0
Astralith,defense,110,726,113,56,57,1,56,5.807355
Astralith,special attack,109,726,101,51,50,1,51,5.672425
Astralith,special defense,89,726,56,35,21,1,35,5.129283
Astralith,speed,120,726,177,76,101,1,77,6.266787
Astralith,base_stat_total,620,726,149,95,54,1,97,6.599913
Astralith,weight,366,726,123,84,39,1,84,6.392317
Astralith,height,36,726,123,67,56,1,68,6.087463
Astralith,move,Glitzy Glow,726,275,107,168,1,106,6.722775
Astralune,classification,Dune Geminon,632,171,106,65,1,109,6.768184
Astralune,types,psychic,632,168,163,5,1,167,7.346651
Astralune,ability,Sand Rush,632,96,88,8,1,91,6.507795
Astralune,hp,69,632,56,16,40,1,16,4.0
Astralune,attack,91,632,119,56,63,1,56,5.807355
Astralune,defense,94,632,99,38,61,1,38,5.247928
Astralune,special attack,83,632,64,38,26,1,38,5.247928
Astralune,special defense,78,632,51,27,24,1,27,4.754888
Astralune,speed,96,632,170,82,88,1,83,6.375039
Astralune,base_stat_total,511,632,97,55,42,1,55,5.78136
Astralune,weight,311,632,88,65,23,1,67,6.066089
Astralune,height,31,632,82,45,37,1,46,5.523562
Astralune,move,Teleport,632,219,87,132,1,87,6.442943
Astrin,classification,Light Geminon,619,150,82,68,1,85,6.409391
Astrin,types,psychic,619,146,144,2,1,145,7.137698
Astrin,ability,Berserk,619,94,80,14,1,80,6.321928
Astrin,hp,44,619,99,32,67,1,32,5.0
Astrin,attack,57,619,104,52,52,1,52,5.70044
Astrin,defense,57,619,83,47,36,1,47,5.554589
Astrin,special attack,52,619,85,43,42,1,43,5.426265
Astrin,special defense,47,619,58,36,22,1,36,5.169925
Astrin,speed,64,619,140,79,61,1,79,6.303781
Astrin,base_stat_total,321,619,106,60,46,1,60,5.906891
Astrin,weight,183,619,75,53,22,1,53,5.72792
Astrin,height,18,619,59,31,28,1,31,4.954196
Astrin,move,Lunar Dance,619,205,78,127,1,78,6.285402
Astrion,classification,Orb Geminon,529,132,79,53,1,79,6.303781
Astrion,types,ghost,529,131,118,13,1,125,6.965784
Astrion,ability,Super Luck,529,90,80,10,1,80,6.321928
Astrion,hp,25,529,165,87,78,1,87,6.442943
Astrion,attack,107,529,227,133,94,1,133,7.055282
Astrion,defense,78,529,63,25,38,1,25,4.643856
Astrion,special attack,98,529,75,47,28,1,48,5.584963
Astrion,special defense,20,529,121,58,63,1,58,5.857981
Astrion,speed,37,529,125,56,69,1,55,5.771641
Astrion,base_stat_total,365,529,110,51,59,1,51,5.672425
Astrion,weight,266,529,82,48,34,1,48,5.584963
Astrion,height,6,529,69,40,29,1,40,5.321928
Astrion,move,Astral Barrage,529,279,67,212,1,66,6.036238
Astrolithon,classification,Meteor Geminon,471,134,75,59,1,75,6.228819
Astrolithon,types,ghost | rock,471,128,88,40,1,88,6.459432
Astrolithon,ability,Toxic Boost,471,81,66,15,1,66,6.044394
Astrolithon,hp,39,471,118,47,71,1,47,5.554589
Astrolithon,attack,159,471,209,90,119,1,90,6.491853
Astrolithon,defense,121,471,51,26,25,1,27,4.754888
Astrolithon,special attack,167,471,153,68,85,1,68,6.087463
Astrolithon,special defense,33,471,87,28,59,1,28,4.807355
Astrolithon,speed,56,471,90,31,59,1,31,4.954196
Astrolithon,base_stat_total,575,471,77,39,38,1,39,5.285402
Astrolithon,weight,426,471,79,49,30,1,49,5.61471
Astrolithon,height,10,471,63,43,20,1,43,5.426265
Astrolithon,move,Stone Edge,471,255,75,180,1,74,6.202152
Astrolumi,classification,Comet Geminon,389,183,120,63,1,124,6.954196
Astrolumi,types,normal | psychic,389,192,144,48,1,145,7.179909
Astrolumi,ability,Levitate,389,98,96,2,1,96,6.584963
Astrolumi,hp,64,389,69,21,48,1,21,4.392317
Astrolumi,attack,71,389,57,27,30,1,27,4.754888
Astrolumi,defense,73,389,133,29,104,1,29,4.857981
Astrolumi,special attack,84,389,99,50,49,1,50,5.643856
Astrolumi,special defense,73,389,57,28,29,1,28,4.807355
Astrolumi,speed,70,389,101,38,63,1,38,5.247928
Astrolumi,base_stat_total,435,389,95,51,44,1,51,5.672425
Astrolumi,weight,263,389,121,76,45,1,76,6.247928
Astrolumi,height,1,389,108,67,41,1,67,6.066089
Astrolumi,move,Tail Whip,389,168,78,90,1,79,6.303781
Aurispine,classification,Thorn Geminon,483,193,129,64,1,130,7.022368
Aurispine,types,bug | grass,483,149,114,35,1,116,6.857981
Aurispine,ability,Iron Fist,483,100,85,15,1,86,6.426265
Aurispine,hp,86,483,53,22,31,1,22,4.459432
Aurispine,attack,183,483,165,86,79,1,87,6.442943
Aurispine,defense,70,483,66,28,38,1,28,4.807355
Aurispine,special attack,130,483,31,18,13,1,18,4.169925
Aurispine,special defense,162,483,58,30,28,1,30,4.906891
Aurispine,speed,27,483,109,50,59,1,51,5.672425
Aurispine,base_stat_total,658,483,62,36,26,1,36,5.169925
Aurispine,weight,1280,483,124,79,45,1,79,6.303781
Aurispine,height,9,483,118,78,40,1,78,6.285402
Aurispine,move,Needle Arm,483,209,72,137,1,73,6.189825
Aurispora,classification,Spore Geminon,483,176,132,44,1,134,7.066089
Aurispora,types,bug,483,189,166,23,1,171,7.417853
Aurispora,ability,Pixilate,483,113,100,13,1,99,6.623856
Aurispora,hp,52,483,82,51,31,1,51,5.672425
Aurispora,attack,108,483,140,101,39,1,102,6.672425
Aurispora,defense,48,483,93,58,35,1,58,5.857981
Aurispora,special attack,81,483,44,35,9,1,35,5.129283
Aurispora,special defense,97,483,67,52,15,1,52,5.70044
Aurispora,speed,18,483,117,76,41,1,76,6.247928
Aurispora,base_stat_total,404,483,79,58,21,1,58,5.857981
Aurispora,weight,800,483,149,107,42,1,107,6.741467
Aurispora,height,6,483,131,91,40,1,92,6.523562
Aurispora,move,Rage Powder,483,224,108,116,1,108,6.754888
Baxtel,classification,Bird Geminon,544,162,110,52,1,111,6.794416
Baxtel,types,flying,544,148,137,11,1,141,7.139551
Baxtel,ability,Magician,544,106,101,5,1,101,6.658211
Baxtel,hp,70,544,63,29,34,1,29,4.857981
Baxtel,attack,68,544,74,32,42,1,32,5.0
Baxtel,defense,79,544,66,42,24,1,41,5.344698
Baxtel,special attack,68,544,46,34,12,1,34,5.087463
Baxtel,special defense,72,544,52,36,16,1,35,5.114369
Baxtel,speed,85,544,117,64,53,1,63,5.96875
Baxtel,base_stat_total,442,544,81,49,32,1,48,5.573894
Baxtel,weight,24,544,112,76,36,1,77,6.266787
Baxtel,height,7,544,96,59,37,1,59,5.882643
Baxtel,move,Pluck,544,173,94,79,1,94,6.554589
Baxtrill,classification,Bird Geminon,592,172,117,55,1,117,6.870365
Baxtrill,types,flying,592,163,152,11,1,154,7.259761
Baxtrill,ability,Sand Rush,592,96,83,13,1,82,6.350943
Baxtrill,hp,109,592,86,27,59,1,28,4.807355
Baxtrill,attack,108,592,119,34,85,1,34,5.087463
Baxtrill,defense,130,592,98,38,60,1,37,5.195296
Baxtrill,special attack,109,592,73,31,42,1,31,4.954196
Baxtrill,special defense,113,592,54,28,26,1,27,4.735926
Baxtrill,speed,136,592,189,91,98,1,91,6.507795
Baxtrill,base_stat_total,705,592,115,66,49,1,66,6.044394
Baxtrill,weight,36,592,132,88,44,1,88,6.459432
